frame,frame,x,y,r,particle,neighbours
3,3,601.5,221.5,60.2,58,"[55, 47, 48, 63, 60, 49]"
3,3,935.5,499.5,53.5,7,"[12, 39, 13, 30]"
3,3,852.5,569.5,43.6,13,"[66, 7, 30, 65]"
3,3,414.5,284.5,52.1,41,"[45, 86, 60, 63, 43, 53]"
3,3,1015.5,779.5,43.8,75,"[57, 98]"
3,3,1038.5,194.5,44.6,68,[]
3,3,707.5,253.5,59.1,55,"[37, 58, 48, 50, 38]"
3,3,671.5,575.5,48.9,87,"[29, 51, 66, 64, 6, 65]"
3,3,626.5,329.5,52.0,48,"[28, 63, 58, 55, 51, 38]"
3,3,441.5,609.5,46.3,69,"[31, 35, 6]"
3,3,805.5,275.5,55.8,50,"[55, 37, 10, 1, 38]"
3,3,545.5,776.5,43.5,71,"[93, 46, 64, 42]"
3,3,538.5,96.5,49.5,49,"[58, 47, 60, 40]"
3,3,448.5,387.5,49.9,53,"[86, 35, 41, 28, 63]"
3,3,643.5,775.5,53.4,42,"[44, 64, 71, 93]"
3,3,289.5,513.5,49.2,54,"[21, 22, 18, 31]"
3,3,481.5,498.5,50.5,35,"[29, 28, 69, 6, 53]"
3,3,646.5,112.5,53.5,47,"[37, 26, 58, 49]"
3,3,791.5,646.5,55.7,66,"[44, 13, 87, 65]"
3,3,453.5,783.5,43.6,46,[71]
3,3,836.5,97.5,62.4,72,"[26, 37]"
3,3,214.5,335.5,55.7,61,"[21, 86, 34, 45]"
3,3,925.5,403.5,62.4,12,"[7, 39, 1, 10, 30]"
3,3,771.5,175.5,43.5,37,"[55, 47, 26, 72, 50]"
3,3,674.5,452.5,46.2,51,"[29, 28, 48, 87, 38, 65]"
3,3,337.5,344.5,52.5,86,"[61, 45, 41, 53]"
3,3,764.5,514.5,60.2,65,"[30, 13, 66, 87, 51]"
3,3,996.5,684.5,58.0,57,"[75, 98]"
3,3,391.5,174.5,60.2,43,"[60, 41, 45, 5, 94, 40]"
3,3,283.5,160.5,61.3,5,"[94, 83, 34, 45, 43]"
3,3,843.5,785.5,43.6,62,"[44, 19, 98]"
3,3,748.5,764.5,59.1,44,"[62, 19, 66, 42]"
3,3,1031.5,415.5,44.6,39,"[7, 12]"
3,3,310.5,255.5,51.4,45,"[41, 86, 61, 34, 5, 43]"
3,3,436.5,87.5,53.5,40,"[49, 60, 43, 94]"
3,3,500.5,202.5,56.9,60,"[41, 63, 58, 49, 43, 40]"
4,4,832.5,383.5,59.1,1,"[50, 12, 38, 30]"
4,4,340.5,612.5,62.4,31,"[18, 54, 69, 23]"
4,4,236.5,608.5,49.1,18,"[54, 31]"
4,4,878.5,190.5,45.6,52,"[67, 72, 37, 50]"
4,4,835.5,98.5,50.7,72,"[52, 37, 26, 67]"
4,4,729.5,358.5,59.1,38,"[55, 48, 51, 50, 1]"
4,4,1023.5,594.5,44.2,108,"[116, 57, 8]"
4,4,391.5,176.5,51.4,43,"[60, 41, 5, 94, 45, 40]"
4,4,537.5,597.5,39.9,6,"[29, 35, 87, 69, 64]"
4,4,897.5,677.5,43.6,56,"[66, 57, 91]"
4,4,546.5,768.5,51.3,71,"[64, 46, 42]"
4,4,929.5,405.5,59.1,12,"[39, 116, 30, 8, 1]"
4,4,1020.5,501.5,51.3,8,"[39, 12, 116, 108]"
4,4,588.5,513.5,57.9,29,"[28, 35, 6, 87, 51]"
4,4,348.5,78.5,46.3,94,"[5, 43, 40]"
4,4,387.5,524.5,53.5,23,"[54, 35, 69, 31]"
4,4,558.5,412.5,61.3,28,"[29, 35, 63, 48, 51, 53]"
4,4,1029.5,97.5,55.7,114,"[67, 68]"
4,4,845.5,481.5,48.0,30,"[116, 12, 65, 1]"
4,4,926.5,494.5,62.4,116,"[30, 12, 108, 8]"
4,4,361.5,786.5,45.7,97,[46]
4,4,200.5,98.5,55.7,83,[5]
4,4,742.5,94.5,52.5,26,"[72, 37, 47]"
4,4,308.5,256.5,49.2,45,"[86, 41, 43, 5, 61]"
4,4,626.5,329.5,51.2,48,"[58, 55, 63, 28, 51, 38]"
4,4,538.5,96.5,49.6,49,"[47, 58, 60, 40]"
4,4,441.5,607.5,44.9,69,"[6, 35, 31, 23]"
4,4,1038.5,195.5,44.8,68,"[67, 114]"
4,4,812.5,276.5,51.3,50,"[52, 37, 55, 38, 1]"
4,4,793.5,653.5,62.4,66,"[91, 65, 56]"
4,4,448.5,389.5,51.9,53,"[28, 35, 86, 41, 63]"
4,4,288.5,512.5,49.1,54,"[18, 31, 23]"
4,4,483.5,497.5,58.0,35,"[28, 29, 6, 53, 69, 23]"
4,4,453.5,783.5,43.2,46,"[97, 71]"
4,4,1004.5,686.5,51.3,57,"[56, 108]"
4,4,643.5,775.5,53.4,42,"[64, 71]"
4,4,665.5,578.5,52.2,87,"[65, 6, 29, 51, 64]"
4,4,771.5,175.5,43.3,37,"[72, 52, 26, 47, 55, 50]"
4,4,943.5,121.5,59.1,67,"[114, 68, 52, 72]"
4,4,410.5,283.5,55.8,41,"[53, 86, 63, 60, 43, 45]"
4,4,711.5,254.5,62.4,55,"[58, 48, 37, 50, 38]"
4,4,523.5,305.5,58.0,63,"[58, 48, 28, 53, 41, 60]"
4,4,1032.5,415.5,43.6,39,"[12, 8]"
4,4,283.5,160.5,61.3,5,"[94, 83, 43, 45]"
4,4,674.5,453.5,56.9,51,"[28, 48, 29, 87, 65, 38]"
4,4,601.5,221.5,60.2,58,"[55, 48, 47, 49, 63, 60]"
4,4,335.5,345.5,51.3,86,"[61, 53, 41, 45]"
4,4,497.5,197.5,51.4,60,"[58, 49, 63, 41, 43, 40]"
4,4,213.5,336.5,56.9,61,"[86, 45]"
4,4,433.5,83.5,48.1,40,"[60, 49, 43, 94]"
4,4,587.5,672.5,53.4,64,"[6, 87, 42, 71]"
4,4,649.5,114.5,55.8,47,"[58, 49, 26, 37]"
4,4,761.5,516.5,60.2,65,"[66, 87, 30, 51]"
4,4,841.5,776.5,51.4,91,"[66, 56]"
5,5,333.5,341.5,49.0,86,"[41, 53, 61, 45]"
5,5,927.5,779.5,41.8,98,"[57, 91]"
5,5,729.5,360.5,56.9,38,"[1, 50, 48, 51, 55]"
5,5,742.5,93.5,51.2,26,"[37, 47, 72]"
5,5,554.5,410.5,58.0,28,"[53, 35, 63, 48, 51, 29]"
5,5,836.5,97.5,62.4,72,"[52, 37, 26, 67]"
5,5,771.5,176.5,42.4,37,"[52, 50, 72, 26, 47, 55]"
5,5,545.5,776.5,43.5,71,"[42, 93, 64, 46]"
5,5,236.5,614.5,53.4,18,"[22, 54, 31]"
5,5,931.5,404.5,58.0,12,"[30, 1, 39, 7]"
5,5,1022.5,594.5,44.4,108,"[57, 8, 7]"
5,5,273.5,780.5,51.2,74,[97]
5,5,361.5,785.5,45.7,97,"[74, 25, 46]"
5,5,827.5,382.5,56.8,1,"[38, 50, 12, 30]"
5,5,538.5,592.5,44.7,6,"[69, 64, 87, 29, 35]"
5,5,795.5,857.5,45.2,19,[91]
5,5,587.5,852.5,43.1,93,"[42, 71]"
5,5,343.5,78.5,47.9,94,"[40, 43, 5]"
5,5,184.5,436.5,45.6,21,"[54, 22, 61]"
5,5,404.5,704.5,39.8,25,"[69, 31, 97, 46]"
5,5,387.5,527.5,51.4,23,"[35, 69, 31, 54]"
5,5,192.5,93.5,58.0,83,"[34, 5]"
5,5,184.5,530.5,45.5,22,"[54, 21, 18]"
5,5,588.5,513.5,58.0,29,"[28, 51, 87, 35, 6]"
5,5,339.5,607.5,45.9,31,"[69, 23, 54, 18, 25]"
5,5,845.5,474.5,44.7,30,"[12, 1, 65, 7]"
5,5,934.5,498.5,53.5,7,"[12, 30, 108, 8, 39]"
5,5,483.5,497.5,57.9,35,"[23, 53, 28, 69, 29, 6]"
5,5,438.5,82.5,47.9,40,"[94, 43, 49, 60]"
5,5,812.5,275.5,51.2,50,"[1, 38, 37, 52, 55]"
5,5,601.5,221.5,60.2,58,"[49, 47, 48, 63, 55, 60]"
5,5,521.5,305.5,49.0,63,"[28, 53, 58, 48, 41, 60]"
5,5,635.5,769.5,62.4,42,"[93, 71, 64]"
5,5,440.5,608.5,45.2,69,"[23, 35, 31, 25, 6]"
5,5,208.5,334.5,51.3,61,"[34, 21, 86, 45]"
5,5,444.5,387.5,53.5,53,"[35, 28, 63, 41, 86]"
5,5,708.5,252.5,59.1,55,"[58, 37, 48, 38, 50]"
5,5,1038.5,194.5,44.6,68,"[14, 67]"
5,5,798.5,646.5,62.4,66,"[87, 91, 65]"
5,5,538.5,96.5,48.6,49,"[58, 47, 40, 60]"
5,5,1030.5,415.5,44.4,39,"[8, 12, 7]"
5,5,414.5,283.5,59.1,41,"[53, 63, 60, 43, 86, 45]"
5,5,1004.5,685.5,51.2,57,"[98, 108]"
5,5,840.5,776.5,51.3,91,"[98, 19, 66]"
5,5,1022.5,500.5,50.1,8,"[39, 108, 7]"
5,5,942.5,125.5,62.4,67,"[68, 14, 52, 72]"
5,5,678.5,452.5,59.0,51,"[28, 48, 38, 65, 87, 29]"
5,5,194.5,227.5,62.4,34,"[83, 61, 5, 45]"
5,5,672.5,574.5,49.9,87,"[66, 64, 65, 51, 29, 6]"
5,5,391.5,176.5,52.5,43,"[94, 40, 60, 41, 5, 45]"
5,5,587.5,672.5,53.6,64,"[42, 71, 87, 6]"
5,5,878.5,190.5,45.6,52,"[37, 50, 72, 67]"
5,5,622.5,335.5,59.1,48,"[58, 63, 28, 51, 38, 55]"
5,5,286.5,161.5,59.1,5,"[43, 94, 83, 34, 45]"
5,5,1043.5,96.5,45.7,14,"[68, 67]"
5,5,311.5,255.5,52.2,45,"[41, 43, 5, 86, 34, 61]"
5,5,499.5,202.5,56.9,60,"[49, 58, 63, 40, 43, 41]"
5,5,647.5,118.5,60.2,47,"[58, 49, 26, 37]"
5,5,455.5,783.5,43.3,46,"[25, 71, 97]"
5,5,766.5,519.5,55.8,65,"[30, 66, 87, 51]"
5,5,291.5,512.5,61.3,54,"[22, 21, 18, 23, 31]"
6,6,689.5,670.5,54.7,89,"[44, 66, 87, 64, 42]"
6,6,933.5,502.5,51.2,7,"[39, 13, 30, 12]"
